,timestamp,user,pid,cpu,mem,vsz,rss,tty,stat,start,time,cmd
1662,kernux     29924  1.0  0.2 1498720 46844 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,2587,0.0,0.4,21209236,65356,?,Sl,mai14,0:00,/usr/share/code/code
1663,kernux     29924  1.0  0.2 1498720 46844 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
1664,kernux     29924  1.0  0.2 1498720 46844 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,21681,0.0,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
1665,kernux     29924  1.0  0.2 1498720 46844 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,21688,0.3,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
1666,kernux     29924  1.0  0.2 1498720 46844 pts/1   Sl+  00:08   0:00 docker stats --no-stream,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1667,kernux     29924  1.0  0.2 1498720 46844 pts/1   Sl+  00:08   0:00 docker stats --no-stream,root,21830,0.0,0.0,1075376,3504,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1668,kernux     29951  1.5  0.2 1498464 46688 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,29978,1.0,0.2,1570532,46700,pts/1,Sl+,00:08,0:00,docker
1669,kernux     29951  1.5  0.2 1498464 46688 pts/1   Sl+  00:08   0:00 docker stats --no-stream,root,1267,0.1,0.5,1825032,90680,?,Ssl,mai14,0:03,/usr/bin/dockerd
1670,kernux     29951  1.5  0.2 1498464 46688 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,2587,0.0,0.4,21209236,65356,?,Sl,mai14,0:00,/usr/share/code/code
1671,kernux     29951  1.5  0.2 1498464 46688 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
1672,kernux     29951  1.5  0.2 1498464 46688 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,21681,0.0,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
1673,kernux     29951  1.5  0.2 1498464 46688 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,21688,0.3,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
