,instance,"OVERALL, RunTime(ms)","OVERALL, Throughput(ops/sec)","TOTAL_GCS_G1_Young_Generation, Count","TOTAL_GC_TIME_G1_Young_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Young_Generation, Time(%)","TOTAL_GCS_G1_Old_Generation, Count","TOTAL_GC_TIME_G1_Old_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Old_Generation, Time(%)","TOTAL_GCs, Count","TOTAL_GC_TIME, Time(ms)","TOTAL_GC_TIME_%, Time(%)","READ, Operations","READ, AverageLatency(us)","READ, MinLatency(us)","READ, MaxLatency(us)","READ, 95thPercentileLatency(us)","READ, 99thPercentileLatency(us)","READ, Return=OK","READ, Return=ERROR","CLEANUP, Operations","CLEANUP, AverageLatency(us)","CLEANUP, MinLatency(us)","CLEANUP, MaxLatency(us)","CLEANUP, 95thPercentileLatency(us)","CLEANUP, 99thPercentileLatency(us)","READ-FAILED, Operations","READ-FAILED, AverageLatency(us)","READ-FAILED, MinLatency(us)","READ-FAILED, MaxLatency(us)","READ-FAILED, 95thPercentileLatency(us)","READ-FAILED, 99thPercentileLatency(us)","INSERT, Operations","INSERT, AverageLatency(us)","INSERT, MinLatency(us)","INSERT, MaxLatency(us)","INSERT, 95thPercentileLatency(us)","INSERT, 99thPercentileLatency(us)","INSERT, Return=OK",source
494,docker_6380i,9584.0,104.3405676126878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,5887.030612244898,3502.0,26159.0,7543.0,7987.0,98.0,412.0,1.0,1294.0,1294.0,1294.0,1294.0,1294.0,412.0,6333.402912621359,2678.0,101375.0,7743.0,12303.0,490.0,12416.351020408163,7252.0,74431.0,15615.0,27007.0,490.0,docker
495,docker_6380i,9818.0,101.85373803218579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,6289.930232558139,3072.0,9367.0,8279.0,8975.0,86.0,443.0,1.0,1229.0,1229.0,1229.0,1229.0,1229.0,443.0,6335.2505643340855,3518.0,45983.0,8343.0,20111.0,471.0,12758.390658174098,5752.0,257535.0,15191.0,23631.0,471.0,docker
496,docker_6380i,12033.0,83.10479514667996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,10415.78431372549,3348.0,141823.0,8999.0,139135.0,102.0,397.0,1.0,1505.0,1505.0,1505.0,1505.0,1505.0,397.0,8153.836272040302,2596.0,189695.0,9191.0,121279.0,501.0,14550.439121756486,7444.0,198783.0,16447.0,136831.0,501.0,docker
497,docker_6380i,10145.0,98.57072449482504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,5931.381443298969,3260.0,9487.0,7251.0,7463.0,97.0,426.0,1.0,1228.0,1228.0,1228.0,1228.0,1228.0,426.0,6747.159624413145,2478.0,68927.0,9863.0,44031.0,477.0,12432.125786163522,5932.0,29151.0,16799.0,21551.0,477.0,docker
498,docker_6380i,10087.0,99.13750371765639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,6529.805555555556,3466.0,12999.0,8471.0,9503.0,72.0,408.0,1.0,1201.0,1201.0,1201.0,1201.0,1201.0,408.0,6324.468137254902,2694.0,41919.0,8695.0,20719.0,520.0,12935.007692307692,7220.0,291583.0,15791.0,24127.0,520.0,docker
499,docker_6380i,11860.0,84.31703204047217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,6362.752808988764,2968.0,12831.0,9399.0,11767.0,89.0,428.0,1.0,1018.0,1018.0,1018.0,1018.0,1018.0,428.0,7295.605140186916,3008.0,142591.0,8735.0,16607.0,483.0,16014.96066252588,8148.0,160383.0,17663.0,147839.0,483.0,docker
500,docker_6380i,9912.0,100.88781275221953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,5864.826086956522,3934.0,18703.0,7515.0,8727.0,92.0,413.0,1.0,1177.0,1177.0,1177.0,1177.0,1177.0,413.0,6333.503631961259,3412.0,103999.0,7903.0,20047.0,495.0,12237.248484848486,6512.0,55679.0,15471.0,32735.0,495.0,docker
501,docker_6380i,10477.0,95.44716999140975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,6270.517647058824,3550.0,23919.0,8447.0,18159.0,85.0,416.0,1.0,1391.0,1391.0,1391.0,1391.0,1391.0,416.0,6410.454326923077,2646.0,42079.0,8471.0,27343.0,499.0,12502.448897795592,6396.0,62751.0,15623.0,35487.0,499.0,docker
502,docker_6380i,10240.0,97.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,6049.857142857143,2894.0,15207.0,7907.0,12151.0,91.0,402.0,1.0,1323.0,1323.0,1323.0,1323.0,1323.0,402.0,6460.460199004975,3048.0,46463.0,8663.0,34079.0,507.0,13241.542406311637,7068.0,351487.0,15799.0,31423.0,507.0,docker
503,docker_6380i,10175.0,98.28009828009829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,6437.727272727273,3056.0,25247.0,8003.0,10231.0,88.0,395.0,1.0,1184.0,1184.0,1184.0,1184.0,1184.0,395.0,6680.0151898734175,2924.0,130559.0,8519.0,24335.0,517.0,12348.742746615088,6448.0,41151.0,15343.0,17711.0,517.0,docker
504,docker_6380i,10075.0,99.25558312655087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,5704.0,1772.0,9327.0,7287.0,8631.0,88.0,403.0,1.0,1510.0,1510.0,1510.0,1510.0,1510.0,403.0,6297.6228287841195,3086.0,50847.0,8383.0,10991.0,509.0,12538.715127701375,7464.0,49759.0,15903.0,19631.0,509.0,docker
505,docker_6380i,10170.0,98.32841691248771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,6093.597826086957,3936.0,9039.0,8187.0,8679.0,92.0,414.0,1.0,1170.0,1170.0,1170.0,1170.0,1170.0,414.0,6215.886473429951,2874.0,26127.0,8703.0,15119.0,494.0,13127.927125506072,6840.0,244863.0,15911.0,35071.0,494.0,docker
506,docker_6380i,12754.0,78.40677434530343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,9777.493975903615,2620.0,142719.0,9575.0,139647.0,83.0,383.0,1.0,2347.0,2346.0,2347.0,2347.0,2347.0,383.0,8386.002610966058,3112.0,153599.0,9583.0,78399.0,534.0,14829.10861423221,8336.0,148607.0,17039.0,139903.0,534.0,docker
507,docker_6380i,9485.0,105.42962572482868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,5901.258064516129,2712.0,12791.0,8143.0,9311.0,93.0,453.0,1.0,1337.0,1337.0,1337.0,1337.0,1337.0,453.0,6554.7086092715235,2774.0,242943.0,7939.0,9263.0,454.0,12627.568281938326,7212.0,177151.0,15903.0,32111.0,454.0,docker
508,docker_6380i,10286.0,97.21952167995333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,6244.701149425287,3304.0,21951.0,9127.0,12455.0,87.0,384.0,1.0,1199.0,1199.0,1199.0,1199.0,1199.0,384.0,6275.838541666667,2668.0,112191.0,8343.0,11167.0,529.0,12852.601134215502,5920.0,165887.0,16055.0,28623.0,529.0,docker
509,docker_6380i,10430.0,95.87727708533077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,6427.7444444444445,3454.0,42431.0,8051.0,9071.0,90.0,376.0,1.0,1404.0,1404.0,1404.0,1404.0,1404.0,376.0,6306.976063829788,2674.0,43391.0,8527.0,17087.0,534.0,12665.074906367041,6044.0,86399.0,15631.0,40543.0,534.0,docker
510,docker_6380i,9988.0,100.1201441730076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,6260.0,3134.0,15247.0,9183.0,9535.0,87.0,400.0,1.0,1282.0,1282.0,1282.0,1282.0,1282.0,400.0,6088.455,2874.0,30895.0,7907.0,10487.0,513.0,12472.588693957116,7492.0,98431.0,15927.0,32927.0,513.0,docker
