,timestamp,CONTAINER ID,source,id,CPU (%),MEM USAGE,LIMIT,MEM %,NET IN,NET OUT,BLOCK IN,BLOCK OUT,PIDS
38,00:23:46,7a5d590f0972,docker_redis_1,1,11.45,4.276092928000001,419.4304,1.02%,35.7,8.21,3.19,0.0,4
39,00:23:47,7a5d590f0972,docker_redis_1,1,12.43,4.153409536,419.4304,0.99%,36.9,8.5,3.19,0.0,4
40,00:23:48,7a5d590f0972,docker_redis_1,1,13.02,4.15760384,419.4304,0.99%,38.2,8.8,3.19,0.0,4
41,00:23:49,7a5d590f0972,docker_redis_1,1,11.04,4.161798144,419.4304,0.99%,39.5,9.09,3.19,0.0,4
42,00:23:50,7a5d590f0972,docker_redis_1,1,11.66,4.161798144,419.4304,0.99%,40.8,9.4,3.19,0.0,4
43,00:23:51,7a5d590f0972,docker_redis_1,1,11.70,4.177526784,419.4304,1.00%,42.1,9.73,3.19,0.0,4
44,00:23:52,7a5d590f0972,docker_redis_1,1,10.41,4.177526784,419.4304,1.00%,43.5,10.1,3.19,0.0,4
45,00:23:53,7a5d590f0972,docker_redis_1,1,12.11,4.177526784,419.4304,1.00%,44.7,10.4,3.19,0.0,4
46,00:23:54,7a5d590f0972,docker_redis_1,1,12.14,4.177526784,419.4304,1.00%,46.1,10.7,3.19,0.0,4
47,00:23:55,7a5d590f0972,docker_redis_1,1,11.97,4.181721088,419.4304,1.00%,47.3,11.0,3.19,0.0,4
48,00:23:56,7a5d590f0972,docker_redis_1,1,12.14,4.325376,419.4304,1.03%,48.6,11.3,3.19,0.0,4
49,00:23:57,7a5d590f0972,docker_redis_1,1,10.21,4.194304,419.4304,1.00%,49.9,11.6,3.19,0.0,4
50,00:23:58,7a5d590f0972,docker_redis_1,1,12.58,4.194304,419.4304,1.00%,51.2,11.9,3.19,0.0,4
51,00:23:59,7a5d590f0972,docker_redis_1,1,12.16,4.177526784,419.4304,1.00%,52.5,12.2,3.19,0.0,4
52,00:24:00,7a5d590f0972,docker_redis_1,1,12.60,4.177526784,419.4304,1.00%,53.9,12.5,3.19,0.0,4
53,00:24:01,7a5d590f0972,docker_redis_1,1,13.81,4.177526784,419.4304,1.00%,55.2,12.8,3.19,0.0,4
54,00:24:02,7a5d590f0972,docker_redis_1,1,10.78,4.181721088,419.4304,1.00%,56.7,13.2,3.19,0.0,4
55,00:24:03,7a5d590f0972,docker_redis_1,1,12.72,4.177526784,419.4304,1.00%,58.1,13.5,3.19,0.0,4
56,00:24:04,7a5d590f0972,docker_redis_1,1,11.72,4.181721088,419.4304,1.00%,59.3,13.8,3.19,0.0,4
57,00:24:06,7a5d590f0972,docker_redis_1,1,12.73,4.145020928,419.4304,0.99%,60.7,14.1,3.19,0.0,4
58,00:24:07,7a5d590f0972,docker_redis_1,1,12.02,4.1492152319999995,419.4304,0.99%,61.9,14.4,3.19,0.0,4
59,00:24:08,7a5d590f0972,docker_redis_1,1,13.24,4.165992448,419.4304,0.99%,63.3,14.7,3.19,0.0,4
60,00:24:09,7a5d590f0972,docker_redis_1,1,12.54,4.161798144,419.4304,0.99%,64.6,15.0,3.19,0.0,4
61,00:24:10,7a5d590f0972,docker_redis_1,1,13.99,4.170186752,419.4304,0.99%,67.2,15.7,3.19,0.0,4
62,00:24:11,7a5d590f0972,docker_redis_1,1,10.96,4.145020928,419.4304,0.99%,68.7,16.0,3.19,0.0,4
63,00:24:12,7a5d590f0972,docker_redis_1,1,12.47,4.1492152319999995,419.4304,0.99%,70.0,16.3,3.19,0.0,4
64,00:24:13,7a5d590f0972,docker_redis_1,1,11.98,4.145020928,419.4304,0.99%,71.3,16.6,3.19,0.0,4
65,00:24:14,7a5d590f0972,docker_redis_1,1,12.27,4.15760384,419.4304,0.99%,72.7,16.9,3.19,0.0,4
66,00:24:15,7a5d590f0972,docker_redis_1,1,12.97,4.165992448,419.4304,0.99%,74.0,17.3,3.19,0.0,4
